,date,team1,team2,daybefore,twoweeks,winrate1,winrate2
256,2021-02-19,kt Rolster,Fredit BRION,2021-02-18,2021-02-04,44.4%,57.1%
257,2021-02-19,DRX,T1,2021-02-18,2021-02-04,0%,100%
258,2021-02-19,T1,DRX,2021-02-18,2021-02-04,100%,0%
259,2021-02-18,Gen.G eSports,Afreeca Freecs,2021-02-17,2021-02-03,60%,33.3%
260,2021-02-18,Afreeca Freecs,Gen.G eSports,2021-02-17,2021-02-03,33.3%,60%
261,2021-02-18,NS RED FORCE,Hanwha Life Esports,2021-02-17,2021-02-03,20%,40%
262,2021-02-18,Hanwha Life Esports,NS RED FORCE,2021-02-17,2021-02-03,40%,20%
263,2021-02-17,Liiv Sandbox,Fredit BRION,2021-02-16,2021-02-02,50%,40%
264,2021-02-17,Fredit BRION,Liiv Sandbox,2021-02-16,2021-02-02,40%,50%
265,2021-02-17,kt Rolster,DWG KIA,2021-02-16,2021-02-02,50%,100%
266,2021-02-17,DWG KIA,kt Rolster,2021-02-16,2021-02-02,100%,50%
267,2021-02-07,DRX,DWG KIA,2021-02-06,2021-01-23,50%,88.9%
268,2021-02-07,DWG KIA,DRX,2021-02-06,2021-01-23,88.9%,50%
269,2021-02-07,Liiv Sandbox,Hanwha Life Esports,2021-02-06,2021-01-23,0%,60%
270,2021-02-07,Hanwha Life Esports,Liiv Sandbox,2021-02-06,2021-01-23,60%,0%
271,2021-02-06,kt Rolster,Afreeca Freecs,2021-02-05,2021-01-22,46.2%,55.6%
272,2021-02-06,Afreeca Freecs,kt Rolster,2021-02-05,2021-01-22,55.6%,46.2%
273,2021-02-06,Fredit BRION,T1,2021-02-05,2021-01-22,30%,50%
274,2021-02-06,T1,Fredit BRION,2021-02-05,2021-01-22,50%,30%
275,2021-02-05,NS RED FORCE,Gen.G eSports,2021-02-04,2021-01-21,55.6%,50%
276,2021-02-05,Gen.G eSports,NS RED FORCE,2021-02-04,2021-01-21,50%,55.6%
277,2021-02-05,DWG KIA,Liiv Sandbox,2021-02-04,2021-01-21,66.7%,14.3%
278,2021-02-05,Liiv Sandbox,DWG KIA,2021-02-04,2021-01-21,14.3%,66.7%
279,2021-02-04,Fredit BRION,kt Rolster,2021-02-03,2021-01-20,33.3%,50%
280,2021-02-04,kt Rolster,Fredit BRION,2021-02-03,2021-01-20,50%,33.3%
281,2021-02-04,Hanwha Life Esports,Afreeca Freecs,2021-02-03,2021-01-20,60%,50%
282,2021-02-04,Afreeca Freecs,Hanwha Life Esports,2021-02-03,2021-01-20,50%,60%
283,2021-02-03,Gen.G eSports,DRX,2021-02-02,2021-01-19,54.5%,54.5%
284,2021-02-03,DRX,Gen.G eSports,2021-02-02,2021-01-19,54.5%,54.5%
285,2021-02-03,T1,NS RED FORCE,2021-02-02,2021-01-19,40%,55.6%
286,2021-02-03,NS RED FORCE,T1,2021-02-02,2021-01-19,55.6%,40%
287,2021-01-31,kt Rolster,NS RED FORCE,2021-01-30,2021-01-16,70%,33.3%
288,2021-01-31,NS RED FORCE,kt Rolster,2021-01-30,2021-01-16,33.3%,70%
289,2021-01-31,T1,Afreeca Freecs,2021-01-30,2021-01-16,50%,50%
290,2021-01-31,Afreeca Freecs,T1,2021-01-30,2021-01-16,50%,50%
291,2021-01-30,Gen.G eSports,Liiv Sandbox,2021-01-29,2021-01-15,54.5%,33.3%
292,2021-01-30,Liiv Sandbox,Gen.G eSports,2021-01-29,2021-01-15,33.3%,54.5%
293,2021-01-30,Fredit BRION,DRX,2021-01-29,2021-01-15,20%,45.5%
294,2021-01-30,DRX,Fredit BRION,2021-01-29,2021-01-15,45.5%,20%
